ticker,date,open,high,low,close,volume
BEL,2023-10-03 05:30:00,137.9,140.6,137.2,139.2,19010910
BEL,2023-10-04 05:30:00,138.0,139.15,136.55,138.85,14912053
BEL,2023-10-05 05:30:00,139.5,141.35,138.1,138.95,15996620
BEL,2023-10-06 05:30:00,139.0,140.5,138.65,139.0,4987359
BEL,2023-10-09 05:30:00,136.2,137.6,135.05,135.75,10489249
BEL,2023-10-10 05:30:00,137.4,141.0,136.5,139.95,15593722
BEL,2023-10-11 05:30:00,139.95,140.5,137.5,137.75,10778916
BEL,2023-10-12 05:30:00,137.95,138.7,137.2,138.2,7567439
BEL,2023-10-13 05:30:00,136.3,138.2,136.3,137.45,8303230
BEL,2023-10-16 05:30:00,137.0,137.9,136.55,137.4,7785480
BEL,2023-10-17 05:30:00,137.5,138.9,137.5,138.55,6076896
BEL,2023-10-18 05:30:00,138.75,138.95,136.4,137.05,6806231
BEL,2023-10-19 05:30:00,136.0,137.2,135.05,137.0,7775836
BEL,2023-10-20 05:30:00,136.7,136.9,133.5,134.2,8982112
BEL,2023-10-23 05:30:00,134.3,135.9,131.4,132.7,19333777
BEL,2023-10-25 05:30:00,132.5,134.65,129.25,131.2,10225867
BEL,2023-10-26 05:30:00,130.0,130.2,127.0,128.85,18167694
BEL,2023-10-27 05:30:00,129.25,132.85,129.25,132.2,8761931
BEL,2023-10-30 05:30:00,133.5,133.95,130.8,131.95,9052085
BEL,2023-10-31 05:30:00,132.5,133.65,130.75,133.25,8098744
BEL,2023-11-01 05:30:00,133.75,134.55,132.05,132.4,10431945
BEL,2023-11-02 05:30:00,133.7,135.0,133.3,134.75,4885035
BEL,2023-11-03 05:30:00,135.15,137.0,134.75,135.95,9154983
BEL,2023-11-06 05:30:00,136.95,138.0,136.0,137.65,7070089
BEL,2023-11-07 05:30:00,137.55,138.95,136.7,138.05,8587321
BEL,2023-11-08 05:30:00,137.75,141.15,137.7,140.4,9755483
BEL,2023-11-09 05:30:00,139.95,139.95,137.6,137.95,5481774
BEL,2023-11-10 05:30:00,137.5,139.1,137.05,138.8,5781314
BEL,2023-11-12 05:30:00,139.95,140.3,139.3,139.6,1362464
BEL,2023-11-13 05:30:00,139.15,144.2,139.05,143.4,20245049
BEL,2023-11-15 05:30:00,144.5,145.4,142.5,143.05,11440473
BEL,2023-11-16 05:30:00,143.25,144.35,142.2,142.6,11453235
BEL,2023-11-17 05:30:00,142.85,146.5,141.8,146.1,13496261
BEL,2023-11-20 05:30:00,146.4,146.75,143.15,143.85,7741502
BEL,2023-11-21 05:30:00,144.15,144.55,142.25,142.85,9972235
BEL,2023-11-22 05:30:00,143.25,143.45,140.15,141.85,7445272
BEL,2023-11-23 05:30:00,141.85,142.55,139.1,139.35,13138745
BEL,2023-11-24 05:30:00,139.95,142.15,137.35,140.35,19614754
BEL,2023-11-28 05:30:00,141.65,141.8,140.4,141.3,8595693
BEL,2023-11-29 05:30:00,142.05,142.65,140.5,141.0,14680789
BEL,2023-11-30 05:30:00,141.0,146.35,140.75,145.9,27591484
BEL,2023-12-01 05:30:00,147.95,150.3,146.75,147.45,34466616
BEL,2023-12-04 05:30:00,152.0,157.5,151.6,153.55,51416976
BEL,2023-12-05 05:30:00,153.7,155.1,149.95,152.0,29109123
BEL,2023-12-06 05:30:00,152.6,157.15,151.85,156.15,26688698
BEL,2023-12-07 05:30:00,161.8,161.8,158.25,160.35,51346222
BEL,2023-12-08 05:30:00,161.35,162.35,157.3,158.75,22869782
BEL,2023-12-11 05:30:00,159.8,163.25,159.15,161.25,22941648
BEL,2023-12-12 05:30:00,162.45,162.8,160.0,160.8,16306341
BEL,2023-12-13 05:30:00,160.2,163.9,159.4,162.85,16804086
BEL,2023-12-14 05:30:00,163.1,164.35,162.6,164.0,13887946
BEL,2023-12-15 05:30:00,166.0,170.2,165.25,169.05,39766631
BEL,2023-12-18 05:30:00,171.75,174.35,169.45,172.7,35901409
BEL,2023-12-19 05:30:00,172.9,174.4,171.1,173.05,14732129
BEL,2023-12-20 05:30:00,173.75,176.3,166.15,167.25,24511237
BEL,2023-12-21 05:30:00,165.0,171.85,164.05,170.65,22646625
BEL,2023-12-22 05:30:00,171.95,175.25,169.4,174.8,19640046
BEL,2023-12-26 05:30:00,178.0,184.5,178.0,181.95,52736391
BEL,2023-12-27 05:30:00,184.0,184.9,179.1,180.2,26206240
BEL,2023-12-28 05:30:00,181.5,184.25,180.8,182.7,20453485
BEL,2023-12-29 05:30:00,182.95,185.2,181.1,184.2,19305150
BEL,2024-01-01 05:30:00,184.8,187.0,184.45,184.95,18008785
BEL,2024-01-02 05:30:00,186.0,186.2,179.75,182.15,22790965
BEL,2024-01-03 05:30:00,182.35,184.7,180.6,182.35,18738690
BEL,2024-01-04 05:30:00,182.5,187.65,182.5,186.9,25403124
BEL,2024-01-05 05:30:00,187.7,188.65,184.05,185.95,22023938
BEL,2024-01-08 05:30:00,186.75,187.5,183.2,183.6,11472441
BEL,2024-01-09 05:30:00,184.9,186.7,184.2,184.65,11550790
BEL,2024-01-10 05:30:00,184.4,186.0,182.05,185.6,8701594
BEL,2024-01-11 05:30:00,187.0,187.65,183.8,184.35,10942508
BEL,2024-01-12 05:30:00,185.35,185.5,183.1,183.5,8853157
BEL,2024-01-15 05:30:00,184.9,189.9,184.1,188.65,24570393
BEL,2024-01-16 05:30:00,188.9,190.25,185.1,186.8,16471601
BEL,2024-01-17 05:30:00,186.3,188.5,183.8,185.65,16350370
BEL,2024-01-18 05:30:00,185.65,189.0,180.0,188.2,24831623
BEL,2024-01-19 05:30:00,190.0,193.7,190.0,191.85,22303305
BEL,2024-01-20 05:30:00,193.0,195.0,190.7,193.4,12654436
BEL,2024-01-23 05:30:00,195.25,195.5,184.4,187.1,26628471
