ticker,date,open,high,low,close,volume
BPCL,2023-10-03 05:30:00,174.25,174.6,170.43,170.68,10514554
BPCL,2023-10-04 05:30:00,170.68,172.48,169.78,170.68,6049760
BPCL,2023-10-05 05:30:00,172.75,173.88,171.4,172.23,7115506
BPCL,2023-10-06 05:30:00,172.5,174.5,172.0,173.6,3717076
BPCL,2023-10-09 05:30:00,170.5,170.83,168.08,170.0,8740080
BPCL,2023-10-10 05:30:00,170.03,171.3,169.6,170.2,3572978
BPCL,2023-10-11 05:30:00,171.1,172.65,170.75,171.28,4799512
BPCL,2023-10-12 05:30:00,172.45,175.18,172.03,174.35,7703802
BPCL,2023-10-13 05:30:00,173.55,175.3,173.53,173.85,3981804
BPCL,2023-10-16 05:30:00,172.5,174.23,171.0,173.63,3262470
BPCL,2023-10-17 05:30:00,174.45,178.85,173.35,177.35,10443728
BPCL,2023-10-18 05:30:00,177.5,178.25,174.43,175.1,9162228
BPCL,2023-10-19 05:30:00,174.75,177.28,174.58,176.85,5743188
BPCL,2023-10-20 05:30:00,175.3,176.4,172.28,173.2,4400690
BPCL,2023-10-23 05:30:00,172.78,173.65,170.83,171.4,7813800
BPCL,2023-10-25 05:30:00,171.28,173.25,169.25,169.98,5429774
BPCL,2023-10-26 05:30:00,168.8,169.48,165.73,167.5,7743878
BPCL,2023-10-27 05:30:00,167.5,169.13,167.0,167.48,2996088
BPCL,2023-10-30 05:30:00,169.0,174.45,168.55,173.45,21873188
BPCL,2023-10-31 05:30:00,174.18,176.98,172.33,174.63,10673186
BPCL,2023-11-01 05:30:00,175.28,179.38,175.28,178.45,13929780
BPCL,2023-11-02 05:30:00,180.48,181.0,178.63,180.28,10130432
BPCL,2023-11-03 05:30:00,180.58,181.85,180.1,180.75,5627900
BPCL,2023-11-06 05:30:00,181.4,184.58,180.68,183.13,9072020
BPCL,2023-11-07 05:30:00,183.4,186.83,183.1,186.4,10702176
BPCL,2023-11-08 05:30:00,187.73,193.95,187.03,192.1,24020912
BPCL,2023-11-09 05:30:00,192.55,195.33,191.4,191.78,12843896
BPCL,2023-11-10 05:30:00,190.9,193.05,190.25,192.03,4932486
BPCL,2023-11-12 05:30:00,192.5,194.0,191.58,192.05,776810
BPCL,2023-11-13 05:30:00,191.75,194.35,191.75,193.55,4838906
BPCL,2023-11-15 05:30:00,194.0,196.7,193.58,196.28,11266250
BPCL,2023-11-16 05:30:00,197.0,200.65,196.5,199.33,15416172
BPCL,2023-11-17 05:30:00,200.0,203.55,194.63,195.13,16380696
BPCL,2023-11-20 05:30:00,195.33,196.7,193.73,196.0,4506882
BPCL,2023-11-21 05:30:00,196.0,196.6,193.3,194.0,4477214
BPCL,2023-11-22 05:30:00,196.0,201.4,195.55,201.05,25730664
BPCL,2023-11-23 05:30:00,201.78,206.75,200.33,205.65,16239092
BPCL,2023-11-24 05:30:00,206.5,206.5,203.5,205.3,10975546
BPCL,2023-11-28 05:30:00,207.03,212.95,206.55,212.25,23186856
BPCL,2023-11-29 05:30:00,213.0,217.23,209.35,214.33,25208812
BPCL,2023-11-30 05:30:00,217.25,219.38,214.53,217.85,32721308
BPCL,2023-12-01 05:30:00,220.0,221.2,216.7,219.0,19278842
BPCL,2023-12-04 05:30:00,222.5,232.4,222.0,230.75,41482794
BPCL,2023-12-05 05:30:00,235.03,238.23,232.5,236.1,38376064
