ticker,date,open,high,low,close,volume,sector
ADANIENT,2023-10-03 05:30:00,2418.0,2424.9,2372.0,2387.25,2019899,Materials
ADANIPORTS,2023-10-03 05:30:00,826.0,836.75,824.25,831.4,2453090,Services
APOLLOHOSP,2023-10-03 05:30:00,5138.95,5154.95,5066.0,5118.95,268482,Healthcare
ASIANPAINT,2023-10-03 05:30:00,3166.1,3227.8,3162.0,3166.85,1219145,Consumer Goods
AXISBANK,2023-10-03 05:30:00,1035.0,1044.7,1032.6,1041.05,11589322,Financial Services
BAJAJ-AUTO,2023-10-03 05:30:00,5065.0,5073.0,4997.1,5016.45,464531,Automobile
BAJAJFINSV,2023-10-03 05:30:00,1530.25,1564.2,1527.0,1561.05,1083086,Financial Services
BAJFINANCE,2023-10-03 05:30:00,7780.8,7975.5,7755.0,7967.6,944555,Financial Services
BEL,2023-10-03 05:30:00,137.9,140.6,137.2,139.2,19010910,Services
BHARTIARTL,2023-10-03 05:30:00,918.25,928.25,916.05,925.3,4338272,Telecommunications
BPCL,2023-10-03 05:30:00,174.25,174.6,170.43,170.68,10514554,Energy
BRITANNIA,2023-10-03 05:30:00,4524.8,4553.25,4486.6,4495.45,543482,Consumer Goods
CIPLA,2023-10-03 05:30:00,1184.0,1185.7,1170.95,1182.8,1581125,Healthcare
COALINDIA,2023-10-03 05:30:00,297.05,297.1,290.1,291.9,9348540,Energy
DRREDDY,2023-10-03 05:30:00,1117.38,1117.38,1090.0,1092.34,2065240,Healthcare
EICHERMOT,2023-10-03 05:30:00,3426.9,3434.95,3302.9,3351.4,1354075,Automobile
GRASIM,2023-10-03 05:30:00,1920.46,1931.32,1899.1,1913.84,591326,Materials
HCLTECH,2023-10-03 05:30:00,1232.5,1256.7,1222.7,1238.7,2162636,Information Technology
HDFCBANK,2023-10-03 05:30:00,1527.0,1527.0,1506.0,1508.05,19485847,Financial Services
HDFCLIFE,2023-10-03 05:30:00,634.45,637.5,628.55,633.55,3454441,Financial Services
HEROMOTOCO,2023-10-03 05:30:00,3058.0,3064.9,2991.5,3015.6,387906,Automobile
HINDALCO,2023-10-03 05:30:00,483.1,484.55,476.6,479.95,4657602,Materials
HINDUNILVR,2023-10-03 05:30:00,2490.0,2499.0,2461.8,2468.9,1585626,Consumer Goods
ICICIBANK,2023-10-03 05:30:00,951.6,951.6,939.0,940.3,11131636,Financial Services
INDUSINDBK,2023-10-03 05:30:00,1432.0,1438.4,1420.0,1435.4,1442499,Financial Services
INFY,2023-10-03 05:30:00,1436.05,1437.0,1420.3,1434.0,4181867,Information Technology
ITC,2023-10-03 05:30:00,441.0,442.9,439.25,439.75,7481883,Consumer Goods
JSWSTEEL,2023-10-03 05:30:00,776.55,776.55,768.0,770.25,1099773,Materials
KOTAKBANK,2023-10-03 05:30:00,1730.0,1735.0,1715.45,1727.05,5534869,Financial Services
LT,2023-10-03 05:30:00,3040.5,3077.45,2995.1,3073.25,3254492,Construction
M&M,2023-10-03 05:30:00,1597.2,1598.0,1533.05,1537.4,3436776,Automobile
MARUTI,2023-10-03 05:30:00,10709.8,10709.8,10303.3,10346.9,623006,Automobile
NESTLEIND,2023-10-03 05:30:00,2250.69,2259.47,2225.52,2231.52,500130,Consumer Goods
NTPC,2023-10-03 05:30:00,244.35,246.7,240.55,241.2,14885044,Utilities
ONGC,2023-10-03 05:30:00,189.3,189.3,183.65,184.6,22118500,Energy
POWERGRID,2023-10-03 05:30:00,198.75,200.0,196.9,199.55,10830728,Utilities
RELIANCE,2023-10-03 05:30:00,1164.97,1167.8,1158.0,1159.08,8859056,Energy
SBILIFE,2023-10-03 05:30:00,1302.15,1302.15,1282.65,1292.45,1282289,Financial Services
