ticker,sector
ADANIENT,Materials
ADANIPORTS,Services
APOLLOHOSP,Healthcare
ASIANPAINT,Consumer Goods
AXISBANK,Financial Services
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BEL,Services
BHARTIARTL,Telecommunications
BPCL,Energy
BRITANNIA,Consumer Goods
CIPLA,Healthcare
COALINDIA,Energy
DRREDDY,Healthcare
EICHERMOT,Automobile
GRASIM,Materials
HCLTECH,Information Technology
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HEROMOTOCO,Automobile
HINDALCO,Materials
HINDUNILVR,Consumer Goods
ICICIBANK,Financial Services
INDUSINDBK,Financial Services
INFY,Information Technology
ITC,Consumer Goods
JSWSTEEL,Materials
KOTAKBANK,Financial Services
LT,Construction
M&M,Automobile
NESTLEIND,Consumer Goods
NTPC,Utilities
ONGC,Energy
POWERGRID,Utilities
RELIANCE,Energy
SBILIFE,Financial Services
SBIN,Financial Services
SHRIRAMFIN,Financial Services
SUNPHARMA,Healthcare
TATACONSUM,Unknown
TATAMOTORS,Automobile
TATASTEEL,Materials
TCS,Information Technology
TECHM,Information Technology
TITAN,Consumer Goods
TRENT,Consumer Services
WIPRO,Information Technology
