sector,avg_return,return_std,min_return,max_return,stock_count,avg_volatility,avg_sharpe,avg_drawdown
Consumer Services,213.75,,213.75,213.75,1,0.34,3.5,-0.11
Telecommunications,69.6,,69.6,69.6,1,0.21,2.06,-0.14
Services,69.24,45.99,36.73,101.76,2,0.33,1.45,-0.24
Utilities,60.18,12.26,51.51,68.85,2,0.27,1.54,-0.17
Automobile,52.02,27.97,27.49,95.98,5,0.26,2.06,-0.19
Information Technology,38.28,12.23,20.8,53.26,5,0.23,1.1,-0.18
Energy,37.89,24.08,9.17,67.48,4,0.3,0.84,-0.25
Healthcare,30.36,19.36,11.18,57.28,4,0.21,1.08,-0.14
Materials,20.16,18.58,-6.67,35.87,5,0.29,0.62,-0.21
Construction,17.25,,17.25,17.25,1,0.26,0.48,-0.15
Financial Services,12.79,21.57,-30.46,48.29,11,0.23,0.25,-0.19
Unknown,9.75,,9.75,9.75,1,0.22,0.26,-0.27
Consumer Goods,-0.48,11.12,-21.94,7.94,6,0.19,-0.19,-0.22
