ticker,sector,yearly_return,avg_price,avg_volume,avg_volatility,max_drawdown,sharpe_ratio,total_trading_days
INDUSINDBK,Financial Services,-30.45840880590776,1443.6975177304962,3611732.276595745,0.2659240537796148,-0.4188649080735414,-1.1015311363495195,282
ASIANPAINT,Consumer Goods,-21.93504586576567,3019.3827464788733,1214614.3450704226,0.1832291152370952,-0.2867717252419637,-1.243757763817645,284
ADANIENT,Materials,-6.670855586972458,2953.0640845070425,2356295.1056338027,0.3595624554618121,-0.4009601536245797,-0.008960669152751,284
BAJFINANCE,Financial Services,-2.008138644923198,6519.418181818181,1169005.9090909092,0.2070685206781231,-0.0442785429270176,-0.9765818539344302,33
HINDUNILVR,Consumer Goods,-0.9579164810239414,2533.715845070423,1872679.852112676,0.1803997117262011,-0.2132208482607186,-0.2102746921483223,284
NESTLEIND,Consumer Goods,0.707141320714141,2490.118485915493,932418.3204225352,0.1912548535401895,-0.2078388677191068,-0.1210696332924751,284
KOTAKBANK,Financial Services,1.9918357893517904,1773.4174911660778,5121173.671378092,0.2187803677108873,-0.194993103807218,-0.0193111526173766,283
BAJAJFINSV,Financial Services,2.5495659972454408,1653.2320422535213,1569381.8943661973,0.2128617993307316,-0.2195504053314768,-0.0112090535420429,284
TITAN,Consumer Goods,3.5181853734845467,3490.904401408451,1142673.940140845,0.2164328058883428,-0.1928801417247471,0.0264070726434846,284
BRITANNIA,Consumer Goods,7.850159605823678,5250.817077464788,345995.8591549296,0.1899027311909367,-0.2548382342674969,0.187188977420987,284
